FirstName,LastName,Social,DOB1,RegPMT,Street,Address1,City,State,ZipCode,PhoneAreaCode,PhoneNumber,PhoneNumber1,,,,ECOA,J1ECOA,FirstName2,LastName2,Social2,DOB2,SecondaryStreet,Address2,City,State,ZipCode,PhoneAreaCode,PhoneNumber,PhoneNumber2
Emma,Smith,645544400,1/25/1980,192,Main Street,123 Main Street,Acampo,CA,95220,209,2834441,2092834441,,,,,,Jayden,White,504643266,12/5/1972,Woodland Drive,7896 Woodland Drive,Acampo,CA,95220,209,5791759,2095791759
Liam,Johnson,896872153,2/27/1990,452,Church Street,456 Church Street,Acton,CA,93510,661,3845275,6613845275,,,,,,Oliver,Harris,319316486,11/10/1975,6th Street West,2569 6th Street West,Acton,CA,93510,661,3546580,6613546580
Noah,Williams,213821389,5/31/1970,347,Main Street North,7878 Main Street North,Adelanto,CA,92301,442,9200335,4429200335,,,,,,Carter,Martin,508680218,3/3/1988,Brookside Drive,4521 Brookside Drive,Adelanto,CA,92301,442,9220889,4429220889
Olivia,Jones,313734520,5/2/1979,141,Main Street South,5698 Main Street South,Adin,CA,96006,530,2460938,5302460938,,,,,,Sebastian,Thompson,456902455,4/10/1992,Hillside Avenue,326 Hillside Avenue,Adin,CA,96006,530,1713331,5301713331
Ava,Brown,617323119,6/4/1969,814,Elm Street,23 Elm Street,Agoura Hills,CA,91301,818,4014341,8184014341,,,,,,Joseph,Garcia,247077512,5/20/1998,Lake Street,45 Lake Street,Agoura Hills,CA,91301,818,9284890,8189284890
Isabella,Davis,300666591,1/25/1980,500,High Street,1111 High Street,Aguanga,CA,92536,951,6613825,9516613825,,,,,,David,Martinez,924732530,6/30/1990,Prospect Avenue,78 Prospect Avenue,Aguanga,CA,92536,951,8796923,9518796923
Sophia,Miller,401703332,2/27/1990,401,Main Street West,2334 Main Street West,Ahwahnee,CA,93601,559,6426650,5596426650,,,,,,Abigail,Robinson,901752880,5/8/1991,13th Street,15 13th Street,Ahwahnee,CA,93601,559,4917040,5594917040
Elijah,Wilson,996296327,5/31/1970,495,Washington Street,5609 Washington Street,Alameda,CA,94501,510,8523828,5108523828,,,,,,Emily,Clark,693537511,5/10/1977,4th Avenue,456 4th Avenue,Alameda,CA,94501,510,5660938,5105660938
Logan,Moore,591777695,5/2/1979,785,Main Street East,4073 Main Street East,Alamo,CA,94507,925,4370872,9254370872,,,,,,Gabriel,Rodriguez,752037461,12/5/1972,College Street,358 College Street,Alamo,CA,94507,925,7774730,9257774730
Mia,Taylor,343867129,1/25/1980,310,Park Avenue,4332 Park Avenue,Albany,CA,94706,510,7968678,5107968678,,,,,,Julian,Lewis,922373620,11/10/1975,Dogwood Lane,9713 Dogwood Lane,Albany,CA,94706,510,1750768,5101750768
